model,horizon,seed,mse,mae,best_val_scaled_mse,train_windows,val_windows,test_windows
lstm,90,2026,155999.84375,303.3214416503906,0.3944889605045318,645,113,326
lstm,90,2027,155714.328125,304.05401611328125,0.3895115256309509,645,113,326
lstm,90,2028,167613.484375,315.6286926269531,0.3902694284915924,645,113,326
lstm,90,2029,158759.125,306.4004211425781,0.3892774581909179,645,113,326
lstm,90,2030,152184.34375,299.8514099121094,0.3895779252052307,645,113,326
msrt,90,2026,152398.171875,301.2694396972656,0.3764798641204834,645,113,326
msrt,90,2027,152094.828125,300.1800842285156,0.3766776919364929,645,113,326
msrt,90,2028,160061.53125,308.42169189453125,0.3753302693367004,645,113,326
msrt,90,2029,149217.28125,296.3947448730469,0.3751285970211029,645,113,326
msrt,90,2030,151016.84375,298.8769226074219,0.3747300505638122,645,113,326
transformer,90,2026,176999.5,324.73046875,0.3767594993114471,645,113,326
transformer,90,2027,154500.953125,302.5111999511719,0.386017382144928,645,113,326
transformer,90,2028,169515.4375,318.73358154296875,0.3564490079879761,645,113,326
transformer,90,2029,168962.65625,317.8228454589844,0.3680887520313263,645,113,326
transformer,90,2030,148606.6875,294.9384460449219,0.3853700757026672,645,113,326
lstm,365,2026,154703.09375,301.7991943359375,0.5779566764831543,411,72,51
lstm,365,2027,164599.875,310.80963134765625,0.5704782605171204,411,72,51
lstm,365,2028,159307.90625,310.3455810546875,0.5677628517150879,411,72,51
lstm,365,2029,173835.890625,326.8321533203125,0.5791133642196655,411,72,51
lstm,365,2030,155656.484375,303.6201477050781,0.5787796974182129,411,72,51
msrt,365,2026,157929.71875,305.3248596191406,0.5745772123336792,411,72,51
msrt,365,2027,153808.8125,298.44610595703125,0.5821858644485474,411,72,51
msrt,365,2028,154578.734375,302.7114562988281,0.5811163783073425,411,72,51
msrt,365,2029,174618.234375,327.9356384277344,0.5826653242111206,411,72,51
msrt,365,2030,156034.421875,304.31842041015625,0.5821136832237244,411,72,51
transformer,365,2026,174159.71875,327.1877136230469,0.5822192430496216,411,72,51
transformer,365,2027,184831.28125,339.6988525390625,0.5913428664207458,411,72,51
transformer,365,2028,161838.515625,310.7684936523437,0.5811489820480347,411,72,51
transformer,365,2029,164537.234375,314.4341125488281,0.5684534907341003,411,72,51
transformer,365,2030,171079.0,322.7747497558594,0.5791580080986023,411,72,51
